FMID,Season1_Start_Date,Season1_End_Date,Season1Time,Season2_Start_Date,Season2_End_Date,Season3_End_Date,Season3Time,Season4_Start_Date,Season4_End_Date,Season4Time
1018261,2017-06-14T04:00:00Z,2017-08-30T04:00:00Z,Wed: 9:00 AM-1:00 PM;,2017-09-06T04:00:00Z,2017-10-18T04:00:00Z,,,,,
1018318,2017-06-24T04:00:00Z,2017-09-30T04:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1009364,,,,,,,,,,
1010691,2014-04-02T04:00:00Z,2014-11-30T05:00:00Z,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,
1002454,July to No,ber,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,
1011100,2015-05-05T04:00:00Z,2015-10-27T04:00:00Z,Tue: 3:30 PM-6:30 PM;,,,,,,,
1009845,2014-06-10T04:00:00Z,2014-11-25T05:00:00Z,Tue: 10:00 AM-7:00 PM;,,,,,,,
1005586,2014-05-16T04:00:00Z,2014-10-17T04:00:00Z,Fri: 8:00 AM-11:00 AM;,,,,,,,
1008071,2014-05-03T04:00:00Z,2014-11-22T05:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1012710,2016-04-09T04:00:00Z,2016-11-19T05:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,
1016782,2017-06-29T04:00:00Z,2017-11-22T05:00:00Z,Tue: 8:00 AM-6:00 PM;,,,,,,,
1003877,June to Se,mber,Wed:3:00 pm - 7:00 pm;,,,,,,,
1016784,2017-06-08T04:00:00Z,,Thu: 3:00 PM-6:30 PM;,,,,,,,
1010968,2015-06-01T04:00:00Z,2015-11-15T05:00:00Z,Thu: 3:00 PM-7:00 PM;,,,,,,,
1009994,2014-06-07T04:00:00Z,2014-09-27T04:00:00Z,Sat: 8:00 AM-11:00 AM;,,,,,,,
1018365,2017-05-20T04:00:00Z,2017-09-30T04:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,
1012790,2016-09-03T04:00:00Z,2017-06-24T04:00:00Z,Sat: 8:30 AM-1:00 PM;,2017-09-02T04:00:00Z,2018-06-30T04:00:00Z,,,,,
1012158,2016-01-01T05:00:00Z,2016-12-31T05:00:00Z,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,
1010873,2015-06-05T04:00:00Z,2015-10-30T04:00:00Z,Fri: 7:30 AM-12:00 PM;,,,,,,,
1005309,2015-06-01T04:00:00Z,2015-11-01T04:00:00Z,Tue: 2:00 PM-6:00 PM;,,,,,,,
1000709,2016-06-25T04:00:00Z,2016-11-05T04:00:00Z,Sat: 8:30 AM-2:00 PM;,,,,,,,
1011881,2016-05-07T04:00:00Z,2016-10-15T04:00:00Z,Sun: 9:00 AM-1:00 PM;,,,,,,,
1010966,2015-06-01T04:00:00Z,2015-11-15T05:00:00Z,Wed: 1:00 PM-5:00 PM;,,,,,,,
1005299,2015-06-01T04:00:00Z,2015-11-15T05:00:00Z,Tue: 2:00 PM-6:00 PM;,,,,,,,
1010994,2016-05-05T04:00:00Z,2016-09-01T04:00:00Z,Thu: 3:30 PM-6:30 PM;,,,,,,,
